Ticker,Market Cap,Short Float,Perf 4 Hr,Perf Month,ATR,SMA20,SMA50,SMA200,Gap,Rel Volume,Volume,Price,Change
PLTR,355068190000,2.41,0,-3.09,6.827857142857142,-2.32,0.42,-9.58,1.02,0.61,30436962,148.46,1.34
SOFI,20212930000,11.16,,-15.24,0.9792857142857145,-20.77,-33.75,-32.26,0.07,0.83,53233648,15.85,1.41
RKLB,38565990000,3.81,0,-5.81,5.2735714285714295,-6.06,-11.72,28.03,3.1402,1.46,32670583,67.73,3.37
UPST,2508410000,32.52,,-9.8,2.369285714285714,-22.98,-38.2,-52.45,0.08,0.54,2794669,25.58,0.87
BB,2041920000,4.41,,-0.57,0.10571428571428575,0.39,-7.05,-14.97,2.46605,1.05,7822749,3.46,2.98
OPEN,4542460000,16.08,0,-2.87,0.4278571428571427,-2.48,-17.15,-2.69,0.0999,0.58,29245026,4.74,3.72
DKNG,20519880000,7.92,,-8.93,1.3064285714285713,-6.17,-22.98,-36.6,3.58464,0.65,10212830,23.16,4.51
RBLX,42600290000,3.2,0,-10.82,4.2749999999999995,-8.89,-18.95,-41.6,2,0.91,10830256,60.11,4.3
AFRM,15426360000,5.84,,-8.69,3.4671428571428584,-14.47,-30.27,-33.18,0.4201,0.55,3590050,46.31,1.69
NET,74510710000,2.61,0,13.88,12.621428571428568,19.1,13.92,7.52,1.875,0.45,2101602,211.69,3.05
SNAP,7819850000,8.68,0,-13.78,0.23785714285714285,-12.8,-32.2,-41.01,0.205,1.19,62470689,4.63,-5.51
COIN,45278330000,10.52,0,-17.93,12.45642857142857,2.03,-17.84,-40.51,0.85906,0.71,8869330,171.46,-0.88
AMD,354614370000,1.99,0,7.64,9.305,8.02,2.19,10.92,4.08986,1.01,38463484,217.5,3.47
SHOP,154211010000,1.49,0,-8.79,9.944999999999999,-4.47,-4.99,-16.07,1.4141,0.61,7089680,118.25,-0.23
UBER,147855040000,2.72,0,-6.28,2.4135714285714265,-2.86,-4.66,-17.48,0.71,0.62,12758507,71.84,0.18
BA,163524980000,1.6,0,-8.4,6.509285714285716,0.47,-7.76,-4.69,5.47405,0.88,6698580,208.22,0.43
PYPL,41742930000,4.7,0,-3.02,2.077857142857142,4.67,-12.95,-30.22,-0.41,0.53,12747749,45.34,1.59
DIS,171146540000,1.14,0,-6.24,2.932142857142857,-2.34,-7.07,-13.52,0.98568,0.54,6379093,96.61,0.05
AAPL,3757197230000,0.85,0,-2.51,6.993571428571428,0.58,-1.71,2.91,0.1599,0.65,31289369,255.92,0.11
TSLA,1353089400000,2.26,0,-11.17,13.332857142857149,-7.38,-11.22,-9.11,10.1172,1.35,83031226,360.59,-5.42
NVDA,4310576990000,0.98,0,-3.09,6.257142857142859,-0.81,-3.12,-1.24,2.545,0.79,143143157,177.39,0.93
MSFT,2773175310000,1.09,0,-7.83,9.765714285714289,-4.24,-8.26,-21.88,1.725,0.66,24099067,373.46,1.11
AMZN,2251864400000,0.87,0,-3.25,5.846428571428575,-0.27,-2.8,-6.59,1.75733,0.62,31453039,209.77,-0.38
META,1453128480000,1.11,0,-13.97,17.973571428571436,-6.24,-10.3,-16.27,9.95,0.84,13518547,574.46,-0.82
